complaint_text,category
Credit bureau is not removing closed accounts.,"Credit reporting, credit repair services, or other personal consumer reports"
Credit bureau is not removing closed accounts.,"Credit reporting, credit repair services, or other personal consumer reports"
होम लोन की ईएमआई गलत काटी जा रही है।,Mortgage
क्रेडिट स्कोर बिना कारण कम कर दिया गया।,"Credit reporting, credit repair services, or other personal consumer reports"
क्रेडिट स्कोर बिना कारण कम कर दिया गया।,"Credit reporting, credit repair services, or other personal consumer reports"
बैंक बिना बताए लोन ब्याज बढ़ा रहा है।,Mortgage
Bank charged overdraft fee even though I had enough money.,Checking or savings account
Unauthorized transaction on my credit card.,Credit card or prepaid card
They are trying to collect a debt I do not owe.,Debt collection
मैंने लोन चुका दिया है फिर भी रिकवरी वाले परेशान कर रहे हैं।,Debt collection
They are trying to collect a debt I do not owe.,Debt collection
Credit bureau is not removing closed accounts.,"Credit reporting, credit repair services, or other personal consumer reports"
Credit bureau is not removing closed accounts.,"Credit reporting, credit repair services, or other personal consumer reports"
Credit card payment posted late even though I paid on time.,Credit card or prepaid card
Incorrect information appearing on my credit report.,"Credit reporting, credit repair services, or other personal consumer reports"
होम लोन की ईएमआई गलत काटी जा रही है।,Mortgage
Credit card payment posted late even though I paid on time.,Credit card or prepaid card
Bank charged overdraft fee even though I had enough money.,Checking or savings account
क्रेडिट स्कोर बिना कारण कम कर दिया गया।,"Credit reporting, credit repair services, or other personal consumer reports"
"पासबुक अपडेट नहीं हो रही है, बैलेंस गलत दिखा रहा है।",Checking or savings account
होम लोन की ईएमआई गलत काटी जा रही है।,Mortgage
मेरी क्रेडिट रिपोर्ट में गलत लोन दिखाया गया है।,"Credit reporting, credit repair services, or other personal consumer reports"
My checking account shows an incorrect balance.,Checking or savings account
मेरे सेविंग अकाउंट में बिना बताए चार्ज काट लिया गया।,Checking or savings account
बैंक बिना बताए लोन ब्याज बढ़ा रहा है।,Mortgage
My checking account shows an incorrect balance.,Checking or savings account
मुझे गलत लेट फी चार्ज की गई है।,Credit card or prepaid card
मेरी क्रेडिट रिपोर्ट में गलत लोन दिखाया गया है।,"Credit reporting, credit repair services, or other personal consumer reports"
Unauthorized transaction on my credit card.,Credit card or prepaid card
